publication_year,topic_label,paper_count,avg_citation_count,proportion
1974,Data Mining / Web,1,9.0,0.5
1974,Database / Systems,1,2029.0,0.5
1975,Database / Systems,1,711.0,0.5
1975,Machine Learning Theory,1,20.0,0.5
1976,Computer science,1,325.0,1.0
1978,Human-Computer Interaction,1,117.0,1.0
1979,Computer science,1,22.0,0.5
1979,Real-Time / Embedded Systems,1,73.0,0.5
1980,Database / Systems,1,103.0,0.5
1980,Natural Language Processing,1,316.0,0.5
1981,Data Mining / Web,1,702.0,1.0
1982,Computer Vision,2,390.0,0.6666666666666666
1982,Machine Learning Theory,1,120.0,0.3333333333333333
1983,Computer Vision,1,54.0,0.5
1983,Natural Language Processing,1,26.0,0.5
1984,Database / Systems,2,237.5,0.6666666666666666
1984,Natural Language Processing,1,538.0,0.3333333333333333
1985,Computer Vision,1,120.0,0.3333333333333333
1985,Database / Systems,1,166.0,0.3333333333333333
1985,Natural Language Processing,1,266.0,0.3333333333333333
1986,Computer science,1,56.0,0.3333333333333333
1986,Database / Systems,1,255.0,0.3333333333333333
1986,Fairness / Evaluation,1,21.0,0.3333333333333333
1987,Computer Vision,4,4744.75,0.36363636363636365
1987,Data Mining / Web,2,1070.0,0.18181818181818182
1987,Database / Systems,2,137.0,0.18181818181818182
1987,Natural Language Processing,1,98.0,0.09090909090909091
1987,Reinforcement Learning,1,881.0,0.09090909090909091
1987,Simplicity,1,909.0,0.09090909090909091
1988,Computer Vision,2,389.5,0.14285714285714285
1988,Computer science,1,227.0,0.07142857142857142
1988,Data Mining / Web,2,332.0,0.14285714285714285
1988,Database / Systems,4,1287.25,0.2857142857142857
1988,Human-Computer Interaction,2,2668.5,0.14285714285714285
1988,Implementation,1,89.0,0.07142857142857142
1988,Machine Learning Theory,1,121.0,0.07142857142857142
1988,Multicast,1,191.0,0.07142857142857142
1989,Computer Vision,1,359.0,0.16666666666666666
1989,Database / Systems,2,108.0,0.3333333333333333
1989,Human-Computer Interaction,1,16.0,0.16666666666666666
1989,Natural Language Processing,1,48.0,0.16666666666666666
1989,Real-Time / Embedded Systems,1,1724.0,0.16666666666666666
1990,Computer Vision,2,237.0,0.2857142857142857
1990,Data Mining / Web,1,425.0,0.14285714285714285
1990,Database / Systems,3,296.0,0.42857142857142855
1990,Machine Learning Theory,1,277.0,0.14285714285714285
1991,Computer Vision,1,752.0,0.3333333333333333
1991,Database / Systems,2,202.5,0.6666666666666666
1992,Cluster analysis,1,947.0,0.1111111111111111
1992,Data Mining / Web,1,82.0,0.1111111111111111
1992,Database / Systems,4,206.5,0.4444444444444444
1992,Fairness / Evaluation,1,807.0,0.1111111111111111
1992,Machine Learning Theory,2,856.0,0.2222222222222222
1993,Computer Vision,1,449.0,0.14285714285714285
1993,Data Mining / Web,1,149.0,0.14285714285714285
1993,Database / Systems,2,7436.0,0.2857142857142857
1993,Human-Computer Interaction,1,241.0,0.14285714285714285
1993,Natural Language Processing,1,90.0,0.14285714285714285
1993,Real-Time / Embedded Systems,1,1079.0,0.14285714285714285
1994,Computer Vision,1,368.0,0.14285714285714285
1994,Data Mining / Web,4,2909.0,0.5714285714285714
1994,Database / Systems,1,293.0,0.14285714285714285
1994,Natural Language Processing,1,1807.0,0.14285714285714285
1995,Computer Vision,3,2022.6666666666667,0.375
1995,Data Mining / Web,1,387.0,0.125
1995,Database / Systems,3,282.6666666666667,0.375
1995,Machine Learning Theory,1,608.0,0.125
1996,Citation,1,545.0,0.1111111111111111
1996,Computer Vision,2,9812.0,0.2222222222222222
1996,Data Mining / Web,2,2302.5,0.2222222222222222
1996,Database / Systems,2,1145.0,0.2222222222222222
1996,Natural Language Processing,1,595.0,0.1111111111111111
1996,Reinforcement Learning,1,200.0,0.1111111111111111
1997,Data Mining / Web,1,352.0,0.14285714285714285
1997,Database / Systems,2,895.0,0.2857142857142857
1997,Human-Computer Interaction,1,926.0,0.14285714285714285
1997,Machine Learning Theory,1,296.0,0.14285714285714285
1997,Natural Language Processing,1,538.0,0.14285714285714285
1997,Reinforcement Learning,1,363.0,0.14285714285714285
1998,Computer Vision,3,3767.3333333333335,0.21428571428571427
1998,Data Mining / Web,5,616.0,0.35714285714285715
1998,Database / Systems,1,584.0,0.07142857142857142
1998,Human-Computer Interaction,1,504.0,0.07142857142857142
1998,Natural Language Processing,2,1921.0,0.14285714285714285
1998,Real-Time / Embedded Systems,1,36.0,0.07142857142857142
1998,Security / Privacy,1,1264.0,0.07142857142857142
1999,Citation,1,1966.0,0.058823529411764705
1999,Computer Vision,5,4661.2,0.29411764705882354
1999,Data Mining / Web,1,4255.0,0.058823529411764705
1999,Database / Systems,2,348.0,0.11764705882352941
1999,Human-Computer Interaction,2,5154.5,0.11764705882352941
1999,Machine Learning Theory,3,239.66666666666666,0.17647058823529413
1999,Natural Language Processing,2,2160.0,0.11764705882352941
1999,Reinforcement Learning,1,372.0,0.058823529411764705
2000,Computer Vision,1,13125.0,0.1111111111111111
2000,Data Mining / Web,2,527.0,0.2222222222222222
2000,Database / Systems,3,559.0,0.3333333333333333
2000,Machine Learning Theory,3,2836.0,0.3333333333333333
2001,Computer Vision,2,4143.0,0.14285714285714285
2001,Data Mining / Web,4,1205.5,0.2857142857142857
2001,Database / Systems,5,3253.6,0.35714285714285715
2001,Natural Language Processing,2,704.0,0.14285714285714285
2001,Security / Privacy,1,870.0,0.07142857142857142
2002,Data Mining / Web,3,2292.6666666666665,0.17647058823529413
2002,Database / Systems,5,479.8,0.29411764705882354
2002,Fairness / Evaluation,1,1095.0,0.058823529411764705
2002,Human-Computer Interaction,1,8135.0,0.058823529411764705
2002,Machine Learning Theory,1,185.0,0.058823529411764705
2002,Natural Language Processing,4,1711.5,0.23529411764705882
2002,Network topology,1,1277.0,0.058823529411764705
2002,Security / Privacy,1,416.0,0.058823529411764705
2003,Computer Vision,6,1877.1666666666667,0.4
2003,Data Mining / Web,2,303.0,0.13333333333333333
2003,Database / Systems,4,1102.0,0.26666666666666666
2003,Human-Computer Interaction,1,390.0,0.06666666666666667
2003,Natural Language Processing,1,2865.0,0.06666666666666667
2003,Reinforcement Learning,1,792.0,0.06666666666666667
2004,Data Mining / Web,4,351.0,0.3076923076923077
2004,Database / Systems,3,559.0,0.23076923076923078
2004,Human-Computer Interaction,1,4019.0,0.07692307692307693
2004,Metaprogramming,1,169.0,0.07692307692307693
2004,Path loss,1,1002.0,0.07692307692307693
2004,RAID,1,493.0,0.07692307692307693
2004,Reinforcement Learning,1,1136.0,0.07692307692307693
2004,Router,1,682.0,0.07692307692307693
2005,Computer Vision,4,1302.0,0.3076923076923077
2005,Data Mining / Web,3,810.6666666666666,0.23076923076923078
2005,Database / Systems,3,1061.0,0.23076923076923078
2005,Machine Learning Theory,1,377.0,0.07692307692307693
2005,Natural Language Processing,2,783.0,0.15384615384615385
2006,Computer Vision,1,1199.0,0.1
2006,Computer network,1,2274.0,0.1
2006,Data Mining / Web,1,1044.0,0.1
2006,Database / Systems,2,307.0,0.2
2006,Fairness / Evaluation,1,1593.0,0.1
2006,Human-Computer Interaction,1,918.0,0.1
2006,Natural Language Processing,1,1958.0,0.1
2006,Reinforcement Learning,2,196.0,0.2
2007,Data Mining / Web,3,1587.0,0.3333333333333333
2007,Database / Systems,1,408.0,0.1111111111111111
2007,Machine Learning Theory,2,1560.0,0.2222222222222222
2007,Natural Language Processing,1,846.0,0.1111111111111111
2007,Real-Time / Embedded Systems,1,523.0,0.1111111111111111
2007,Security / Privacy,1,522.0,0.1111111111111111
2008,Data Mining / Web,1,3206.0,0.16666666666666666
2008,Database / Systems,4,1863.75,0.6666666666666666
2008,Natural Language Processing,1,6709.0,0.16666666666666666
