archetype_id,archetype_zh,paper_id,title,year,venue,topic_label,citation_count,impact_breadth_score,citing_field_count,recognition_lag,observed_citations_2012_2026,peak_year,peak_year_citations,peak_share,recent_2022_2026_share,early_2012_2016_share,active_years_observed,recent_slope_2020_2026,rule_summary,safe_wording_boundary,source_url,paper_url,doi
early-peak-sedimentation,早期峰值后沉淀,sigcomm_1974_5f7a35f6,Research Areas in Computer Communication,1974,SIGCOMM,Data Mining / Web,9.0,31.62,34.0,32.0,1.0,2013,1.0,1.0,0.0,1.0,1,0,observed peak occurs before 2018 and recent-window share is below 30%,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/1015660.1015661,https://doi.org/10.1145/1015660.1015661
early-peak-sedimentation,早期峰值后沉淀,sigcomm_1988_03dd0f93,The Design Philosophy of the DARPA Internet Procotols,1988,SIGCOMM,Computer Vision,1.0,16.62,6.0,18.0,1.0,2014,1.0,1.0,0.0,1.0,1,0,observed peak occurs before 2018 and recent-window share is below 30%,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.3990/1.9789036535762,https://doi.org/10.3990/1.9789036535762
early-peak-sedimentation,早期峰值后沉淀,aaai_1986_977126d7,Quantifying the Inductive Bias in Concept Learning,1986,AAAI,Fairness / Evaluation,21.0,34.75,42.0,19.0,1.0,2014,1.0,1.0,0.0,1.0,1,0,observed peak occurs before 2018 and recent-window share is below 30%,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://dblp.uni-trier.de/db/conf/aaai/aaai86-1.html#Haussler86,
early-peak-sedimentation,早期峰值后沉淀,sigir_1982_a22d476b,The Unified Probabilistic Model for IR,1982,SIGIR,Computer Vision,24.0,38.75,51.0,32.0,1.0,2012,1.0,1.0,0.0,1.0,1,0,observed peak occurs before 2018 and recent-window share is below 30%,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://dblp.uni-trier.de/db/conf/sigir/sigir82.html#RobertsonMC82,https://doi.org/10.5555/636713.636723
early-peak-sedimentation,早期峰值后沉淀,vldb_1989_37fbfaa6,ARIES/NT: A Recovery Method Based on Write-Ahead Logging for Nested Transactions,1989,VLDB,Database / Systems,69.0,56.88,64.0,10.0,16.0,2014,14.0,0.875,0.0,0.938,3,0,observed peak occurs before 2018 and recent-window share is below 30%,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.80.6656,
long-tail-sustained,长尾稳定传播,kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,1996,KDD,Computer Vision,19133.0,81.12,78.0,18.0,16564.0,2021,2101.0,0.127,0.268,0.244,14,-264.69,"many active years, no single-year spike dominates, and recent citations remain visible","OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.121.9220,
long-tail-sustained,长尾稳定传播,iccv_2001_8e7ef59f,A Database of Human Segmented Natural Images and Its Application to Evaluating Segmentation Algorithms and Measuring Ecological Statistics,2001,ICCV,Computer Vision,7941.0,62.88,61.0,15.0,6823.0,2020,683.0,0.1,0.348,0.231,15,-68.82,"many active years, no single-year spike dominates, and recent citations remain visible","OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1109/iccv.2001.937655,https://doi.org/10.1109/iccv.2001.937655
long-tail-sustained,长尾稳定传播,www_2007_973301ac,YAGO: A Core of Semantic Knowledge Unifying WordNet and Wikipedia,2007,WWW,Data Mining / Web,1186.0,85.88,82.0,11.0,1186.0,2021,213.0,0.18,0.474,0.008,11,-25.14,"many active years, no single-year spike dominates, and recent citations remain visible","OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.3233/sw-160218,https://doi.org/10.3233/sw-160218
long-tail-sustained,长尾稳定传播,icml_2008_be55835e,A Unified Architecture for Natural Language Processing: Deep Neural Networks with Multitask Learning,2008,ICML,Natural Language Processing,6709.0,66.12,67.0,10.0,6709.0,2021,911.0,0.136,0.288,0.147,15,-130.5,"many active years, no single-year spike dominates, and recent citations remain visible","OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.18653/v1/d13-1170,https://doi.org/10.18653/v1/d13-1170
long-tail-sustained,长尾稳定传播,sigir_1988_12a50dc3,A Look Back and a Look Forward,1988,SIGIR,Human-Computer Interaction,5127.0,72.25,72.0,26.0,4037.0,2019,343.0,0.085,0.267,0.369,15,-19.61,"many active years, no single-year spike dominates, and recent citations remain visible","OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1038/nrn1201,https://doi.org/10.1038/nrn1201
late-current-resurgence,近期仍在上升 / 后段增强,oopsla_2001_a9f21d83,Multitasking without compromise: a virtual machine evolution,2001,OOPSLA,Data Mining / Web,2212.0,86.5,96.0,10.0,2210.0,2024,633.0,0.286,0.925,0.0,8,53.39,observed peak is in 2022–2026 and recent-window share is high,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1016/j.neucom.2019.10.118,https://doi.org/10.1016/j.neucom.2019.10.118
late-current-resurgence,近期仍在上升 / 后段增强,sigmod_1996_2e57c7b7,BIRCH: An Efficient Data Clustering Method for Very Large Databases,1996,SIGMOD,Data Mining / Web,3781.0,66.88,79.0,10.0,3373.0,2025,585.0,0.173,0.609,0.108,15,11.79,observed peak is in 2022–2026 and recent-window share is high,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/342009.335388,https://doi.org/10.1145/342009.335388
late-current-resurgence,近期仍在上升 / 后段增强,sigmod_1992_e01056d7,Extensible/Rule Based Query Rewrite Optimization in Starburst,1992,SIGMOD,Database / Systems,313.0,51.0,66.0,10.0,87.0,2026,31.0,0.356,0.494,0.195,15,2.57,observed peak is in 2022–2026 and recent-window share is high,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/130283.130294,https://doi.org/10.1145/130283.130294
deep-and-broad-diffusion,高深度 + 高广度扩散,kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,1996,KDD,Computer Vision,19133.0,81.12,78.0,18.0,16564.0,2021,2101.0,0.127,0.268,0.244,14,-264.69,above-median citation depth and breadth with broad sampled citing fields,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.121.9220,
deep-and-broad-diffusion,高深度 + 高广度扩散,iccv_1987_56f24279,Snakes: Active Contour Models,1987,ICCV,Computer Vision,17009.0,68.5,77.0,26.0,7359.0,2013,869.0,0.118,0.167,0.496,15,-60.04,above-median citation depth and breadth with broad sampled citing fields,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1007/bf00133570,https://doi.org/10.1007/bf00133570
deep-and-broad-diffusion,高深度 + 高广度扩散,vldb_2000_1f64865f,Database replication: a tale of research across communities,2000,VLDB,Computer Vision,13125.0,81.12,73.0,10.0,8168.0,2013,773.0,0.095,0.192,0.449,15,-60.29,above-median citation depth and breadth with broad sampled citing fields,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/331499.331504,https://doi.org/10.1145/331499.331504
deep-and-broad-diffusion,高深度 + 高广度扩散,iccv_1999_ac21b391,Object Recognition from Local Scale-Invariant Features,1999,ICCV,Computer Vision,16147.0,65.88,67.0,12.0,12825.0,2016,1099.0,0.086,0.206,0.392,15,-136.18,above-median citation depth and breadth with broad sampled citing fields,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1109/iccv.1999.790410,https://doi.org/10.1109/iccv.1999.790410
deep-and-broad-diffusion,高深度 + 高广度扩散,sigmod_1993_cda45823,Mining Association Rules Between Sets of Items in Large Databases,1993,SIGMOD,Database / Systems,14771.0,66.75,73.0,10.0,7684.0,2012,870.0,0.113,0.129,0.504,15,-71.29,above-median citation depth and breadth with broad sampled citing fields,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/170035.170072,https://doi.org/10.1145/170035.170072
breadth-over-depth,广度高于引用深度,acm_sensys_2006_a4e2d6fd,CarTel: A Distributed Mobile Sensor Computing System,2006,ACM SenSys,Reinforcement Learning,225.0,77.0,83.0,12.0,225.0,2019,30.0,0.133,0.182,0.298,14,-3.51,below-median citation count but above-median breadth proxy,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1109/infcomw.2011.5928901,https://doi.org/10.1109/infcomw.2011.5928901
breadth-over-depth,广度高于引用深度,sigcomm_1987_b342b594,Improving Round-Trip Time Estimates in Reliable Transport Protocols,1987,SIGCOMM,Database / Systems,194.0,66.38,51.0,19.0,64.0,2014,7.0,0.109,0.281,0.312,15,-0.54,below-median citation count but above-median breadth proxy,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/55483.55484,https://doi.org/10.1145/55483.55484
breadth-over-depth,广度高于引用深度,sigmod_1989_463af2b8,"F-Logic: A Higher-Order Language for Reasoning About Objects, Inheritance, and Scheme",1989,SIGMOD,Computer Vision,359.0,67.62,58.0,10.0,56.0,2015,7.0,0.125,0.232,0.446,15,-0.46,below-median citation count but above-median breadth proxy,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/66926.66939,https://doi.org/10.1145/66926.66939
breadth-over-depth,广度高于引用深度,sigir_1988_31fae25c,Information Retrieval using a Singular Value Decomposition Model of Latent Semantic Structure,1988,SIGIR,Database / Systems,257.0,66.25,77.0,26.0,135.0,2024,21.0,0.156,0.222,0.385,14,0.86,below-median citation count but above-median breadth proxy,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1145/62437.62487,https://doi.org/10.1145/62437.62487
breadth-over-depth,广度高于引用深度,iccv_1993_f8f5c041,A framework for the robust estimation of optical flow,1993,ICCV,Computer Vision,449.0,58.12,77.0,20.0,162.0,2024,17.0,0.105,0.302,0.389,15,-0.86,below-median citation count but above-median breadth proxy,"OpenAlex yearly citation window/proxy; use as trajectory cue, not official award reason.",https://github.com/LCS2-IIITD/influence-dispersion/blob/master/data/TestOfTimeAwards.csv,https://doi.org/10.1109/iccv.1993.378214,https://doi.org/10.1109/iccv.1993.378214
