paper_id,title,year,venue,topic_label_api,citation_count,recognition_lag,impact_breadth_score,manual_priority_score,manual_topic_label,one_sentence_contribution_zh,why_time_tested_zh,foundational_type,industry_impact_level,industry_impact_note_zh,evidence_url_1,evidence_url_2,display_priority,annotator,checked,proposed_research_archetype,archetype_definition,archetype_rationale,archetype_review_status
kdd_1996_1b93ceb4,A Density-Based Algorithm for Discovering Clusters in Large Spatial Databases with Noise,1996,KDD,Computer Vision,19133,18,81.12,0.8609,Data Mining / Clustering,提出 DBSCAN 密度聚类方法，用密度可达和噪声点处理支持任意形状簇发现。,在高引用深度、较高 breadth proxy 和 KDD Test of Time 记录中同时突出，适合说明算法范式如何长期复用。,algorithmic method,high,适合作为高引用与方法复用案例；工业影响表述需最终报告再补具体应用证据。,https://dl.acm.org/doi/10.5555/3001460.3001507,https://www.dbs.ifi.lmu.de/Publikationen/Papers/KDD-96.final.frame.pdf,1,,partial-source-added,Reusable algorithm / 可复用算法范式,Algorithmic method that becomes a reusable analytic primitive,DBSCAN is a named clustering algorithm reused across spatial/data-mining tasks.,manual review needed
iccv_1987_56f24279,Snakes: Active Contour Models,1987,ICCV,Computer Vision,17009,26,68.5,0.8264,Computer Vision / Segmentation,提出 active contour（snakes）模型，把图像边界检测表述为能量最小化轮廓演化问题。,citation count 与 recognition lag 都很高，适合说明视觉基础模型经过长期使用后被持续确认。,foundational model,high,可讲作视觉分割/轮廓建模的基础案例；具体应用范围需引用论文或综述支撑。,https://doi.org/10.1007/BF00133570,https://link.springer.com/article/10.1007/BF00133570,2,,partial-source-added,Modeling framework / 建模框架,A conceptual or mathematical modeling frame reused by later work,Active contour models frame segmentation as energy-minimizing curve evolution.,manual review needed
kdd_2005_ebddb36d,"Graphs over Time: Densification Laws, Shrinking Diameters and Possible Explanations",2005,KDD,Data Mining / Web,847,11,87.38,0.4008,Data Mining / Network Science,总结大规模真实网络随时间演化的 densification laws 与 shrinking diameters 现象。,breadth proxy 为 Top 12 最高之一，适合说明长期影响也可体现为跨领域网络分析框架。,empirical law / network analysis,medium-high,适合作为影响广度案例；需避免把 sampled breadth 写成完整引用网络。,https://doi.org/10.1145/1081870.1081893,https://cs.stanford.edu/people/jure/pubs/powergrowth-kdd05.pdf,3,,partial-source-added,Empirical law / 经验规律,A dataset-backed regularity or law that helps later work reason about a phenomenon,Densification and shrinking-diameter observations summarize recurring graph evolution patterns.,manual review needed
oopsla_2001_a9f21d83,Multitasking without compromise: a virtual machine evolution,2001,OOPSLA,Data Mining / Web,2212,10,86.5,0.4225,Programming Languages / Virtual Machines,讨论虚拟机在多任务场景下的演进，强调隔离、资源管理与性能之间的折中。,在 breadth proxy 上表现突出，适合作为系统/语言方向长期影响案例，但自动匹配 DOI 曾出现误配，已标注需人工复核。,systems design,needs-verification,OpenAlex 自动匹配曾误连到无关论文；最终引用前必须以 ACM/OOPSLA 页面复核。,https://doi.org/10.1145/504311.504292,https://dl.acm.org/doi/10.1145/504311.504292,4,,doi-corrected-needs-human-final-check,Infrastructure/tool platform / 基础设施或工具平台,A system or runtime design that changes how later software is built or executed,The VM evolution paper concerns runtime/platform design tradeoffs.,manual review needed
sigir_1980_e20f7878,Probabilistic Models of Indexing and Searching,1980,SIGIR,Natural Language Processing,316,34,58.62,0.4587,Information Retrieval / Probabilistic Models,系统化讨论概率模型在 indexing 与 searching 中的作用，是早期概率 IR 传统的重要代表。,recognition lag 达 34 年，适合作为"基础思想很晚被重新确认"的长周期案例。,theoretical / retrieval model,medium,适合作为最长 recognition lag 案例；具体贡献需结合 SIGIR/IR 文献回顾核查。,https://dl.acm.org/doi/10.5555/636669.636673,https://doi.org/10.5555/636669.636673,5,,partial-source-added,Probabilistic theory/model / 概率理论模型,A theoretical or statistical model that provides a reusable ranking/search explanation,Probabilistic indexing/searching provides an IR retrieval model family.,manual review needed
sigcomm_1974_5f7a35f6,Research Areas in Computer Communication,1974,SIGCOMM,Networking / Research Agenda,9,32,31.62,,Networking / Research Agenda,概括计算机通信领域早期研究问题，为后续网络研究议程提供问题框架。,早期发表且 recognition lag 很长，适合说明 Test of Time 数据中存在研究议程类贡献。,,,,https://doi.org/10.1145/1015660.1015661,https://dl.acm.org/doi/10.1145/1015660.1015661,6,,partial-source-added,Research agenda / 研究议程,"A field-defining survey, agenda, or problem framing that organizes later research directions",The title and venue indicate a communication-research agenda rather than a single system metric.,manual review needed
sigcomm_1998_d2b8808e,Modeling TCP Throughput: A Simple Model and Its Empirical Validation,1998,SIGCOMM,Networking / TCP Performance Modeling,36,9,56.12,,Networking / TCP Performance Modeling,给出 TCP throughput 的简洁模型并用实验验证，连接协议机制与可预测性能。,recognition lag 较短，适合对比“较快进入共同知识”的网络测量/模型类论文。,,,,https://dl.acm.org/doi/10.1145/285237.285291,https://dl.acm.org/citation.cfm?id=897574,7,,partial-source-added,Measurement model / 测量与性能模型,An empirical model that makes a system behavior measurable and comparable,The TCP throughput model links a simple formula to empirical validation.,manual review needed
iccv_1999_ac21b391,Object Recognition from Local Scale-Invariant Features,1999,ICCV,Computer Vision,16147,12,65.88,0.6942,Computer Vision / Local Features,提出尺度、旋转等变化下稳定的局部特征方法，即后续广泛使用的 SIFT 思路。,高 citation count 且为视觉主题代表，适合说明方法组件如何成为领域工具链。,algorithmic feature representation,high,可作为视觉方向代表案例；工业应用表述需另补应用/专利/教材证据。,https://doi.org/10.1109/ICCV.1999.790410,https://www.cs.ubc.ca/~lowe/papers/iccv99.pdf,8,,partial-source-added,Reusable algorithm / 可复用算法范式,Algorithmic method that becomes a reusable analytic primitive,SIFT is a reusable local-feature method for visual recognition pipelines.,manual review needed
sigmod_1993_cda45823,Mining Association Rules Between Sets of Items in Large Databases,1993,SIGMOD,Database / Systems,14771,10,66.75,0.6501,Database / Association Rules,提出大规模交易数据库中的 association rule mining 问题和高效规则生成思路。,数据库方向高引用代表，适合说明从具体数据挖掘任务到通用分析范式的扩散。,data mining problem formulation,high,适合作为 Database / Systems 和 Citation 模块共同案例。,https://doi.org/10.1145/170035.170072,https://dl.acm.org/doi/10.1145/170035.170072,9,,partial-source-added,Reusable algorithm / 可复用算法范式,Algorithmic method that becomes a reusable analytic primitive,Association-rule mining introduced a reusable pattern-mining task/formulation.,manual review needed
wmcsa_1999_367b771d,Ad-hoc On-Demand Distance Vector Routing,1999,WMCSA,Human-Computer Interaction,10309,19,44.25,0.5341,Networking / Mobile Ad Hoc Routing,提出 AODV 按需路由协议，用于无基础设施移动自组织网络中的路径发现与维护。,citation count 很高且来自移动网络方向，适合说明网络协议类论文的长期复用。,network protocol,medium-high,topic 自动标为 HCI 不准确，已在人工标签中改为 Networking。,https://doi.org/10.1109/MCSA.1999.749281,https://ieeexplore.ieee.org/document/749281,10,,partial-source-added,Protocol/system design / 协议或系统设计,"A concrete network/system design later used as a baseline, comparison point, or operational pattern",AODV is a mobile ad hoc routing protocol design.,manual review needed
vldb_1994_ba6086d0,Fast Algorithms for Mining Association Rules in Large Databases,1994,VLDB,Data Mining / Web,9384,10,58.88,0.4964,Data Mining / Association Rules,提出 Apriori 等快速 association rule mining 算法，推动大规模频繁项集挖掘。,高 citation count 且与 SIGMOD 1993 案例形成连续技术线索，适合讲数据挖掘方法成熟。,algorithmic method,high,适合与 association-rule problem formulation 作为成对案例。,https://dl.acm.org/doi/10.5555/645920.672836,https://www.vldb.org/conf/1994/P487.PDF,11,,partial-source-added,Scalable algorithm engineering / 可扩展算法工程,An algorithmic improvement focused on making a known analytical task efficient at scale,The paper focuses on fast algorithms for large-database association-rule mining.,manual review needed
ieee_transactions_on_information_theory_2000_f5a20c28,Network Information Flow,2000,IEEE Transactions on Information Theory,Machine Learning Theory,7857,18,66.38,0.545,Information Theory / Network Coding,提出 network information flow / network coding 框架，说明网络中间节点编码可提升多播传输能力。,citation、breadth 与 recognition lag 都较高，适合作为理论思想跨网络与信息论扩散的案例。,theoretical framework,high,适合作为理论和网络交叉的代表案例；报告中需注明获奖来源字段来自 seed。,https://doi.org/10.1109/18.850663,https://ieeexplore.ieee.org/document/850663,12,,partial-source-added,Foundational theory / 基础理论,A theoretical result or abstraction that changes what later systems/research can reason about,Network information flow is a foundational network-coding theory paper.,manual review needed
